vars,clauses,probability
25,10,1.0
25,20,1.0
25,30,1.0
25,40,1.0
25,50,1.0
25,60,0.99
25,70,0.99
25,80,0.9
25,90,0.73
25,100,0.51
25,110,0.46
25,120,0.23
25,130,0.11
25,140,0.06
25,150,0.05
25,160,0.01
25,170,0.0
25,180,0.0
25,190,0.0
25,200,0.0
25,210,0.0
25,220,0.0
25,230,0.0
25,240,0.0
25,250,0.0
25,260,0.0
25,270,0.0
25,280,0.0
25,290,0.0
25,300,0.0
25,310,0.0
25,320,0.0
25,330,0.0
25,340,0.0
25,350,0.0
25,360,0.0
25,370,0.0
25,380,0.0
25,390,0.0
25,400,0.0
25,410,0.0
25,420,0.0
25,430,0.0
25,440,0.0
25,450,0.0
25,460,0.0
25,470,0.0
25,480,0.0
25,490,0.0
25,500,0.0
25,510,0.0
25,520,0.0
25,530,0.0
25,540,0.0
25,550,0.0
25,560,0.0
25,570,0.0
25,580,0.0
25,590,0.0
25,600,0.0
25,610,0.0
25,620,0.0
25,630,0.0
25,640,0.0
25,650,0.0
25,660,0.0
25,670,0.0
25,680,0.0
25,690,0.0
50,10,1.0
50,20,1.0
50,30,1.0
50,40,1.0
50,50,1.0
50,60,1.0
50,70,1.0
50,80,1.0
50,90,0.99
50,100,1.0
50,110,1.0
50,120,0.99
50,130,0.99
50,140,0.96
50,150,0.93
50,160,0.91
50,170,0.79
50,180,0.71
50,190,0.55
50,200,0.41
50,210,0.27
50,220,0.19
50,230,0.13
50,240,0.02
50,250,0.03
50,260,0.03
50,270,0.01
50,280,0.0
50,290,0.0
50,300,0.0
50,310,0.0
50,320,0.0
50,330,0.0
50,340,0.0
50,350,0.0
50,360,0.0
50,370,0.0
50,380,0.0
50,390,0.0
50,400,0.0
50,410,0.0
50,420,0.0
50,430,0.0
50,440,0.0
50,450,0.0
50,460,0.0
50,470,0.0
50,480,0.0
50,490,0.0
50,500,0.0
50,510,0.0
50,520,0.0
50,530,0.0
50,540,0.0
50,550,0.0
50,560,0.0
50,570,0.0
50,580,0.0
50,590,0.0
50,600,0.0
50,610,0.0
50,620,0.0
50,630,0.0
50,640,0.0
50,650,0.0
50,660,0.0
50,670,0.0
50,680,0.0
50,690,0.0
75,10,1.0
75,20,1.0
75,30,1.0
75,40,1.0
75,50,1.0
75,60,1.0
75,70,1.0
75,80,1.0
75,90,1.0
75,100,1.0
75,110,1.0
75,120,1.0
75,130,1.0
75,140,1.0
75,150,1.0
75,160,1.0
75,170,1.0
75,180,1.0
75,190,1.0
75,200,1.0
75,210,0.95
75,220,0.96
75,230,0.93
75,240,0.82
75,250,0.78
75,260,0.63
75,270,0.57
75,280,0.49
75,290,0.42
75,300,0.29
75,310,0.19
75,320,0.12
75,330,0.12
75,340,0.06
75,350,0.05
75,360,0.0
75,370,0.01
75,380,0.0
75,390,0.0
75,400,0.0
75,410,0.0
75,420,0.0
75,430,0.0
75,440,0.0
75,450,0.0
75,460,0.0
75,470,0.0
75,480,0.0
75,490,0.0
75,500,0.0
75,510,0.0
75,520,0.0
75,530,0.0
75,540,0.0
75,550,0.0
75,560,0.0
75,570,0.0
75,580,0.0
75,590,0.0
75,600,0.0
75,610,0.0
75,620,0.0
75,630,0.0
75,640,0.0
75,650,0.0
75,660,0.0
75,670,0.0
75,680,0.0
75,690,0.0
100,10,1.0
100,20,1.0
100,30,1.0
100,40,1.0
100,50,1.0
100,60,1.0
100,70,1.0
100,80,1.0
100,90,1.0
100,100,1.0
100,110,1.0
100,120,1.0
100,130,1.0
100,140,1.0
100,150,1.0
100,160,1.0
100,170,1.0
100,180,1.0
100,190,1.0
100,200,1.0
100,210,1.0
100,220,0.99
100,230,0.99
100,240,1.0
100,250,1.0
100,260,0.98
100,270,0.99
100,280,1.0
100,290,0.99
100,300,0.96
100,310,0.93
100,320,0.86
100,330,0.83
100,340,0.8
100,350,0.68
100,360,0.57
100,370,0.52
100,380,0.37
100,390,0.25
100,400,0.22
100,410,0.05
100,420,0.05
100,430,0.08
100,440,0.02
100,450,0.04
100,460,0.01
100,470,0.02
100,480,0.01
100,490,0.0
100,500,0.0
100,510,0.0
100,520,0.0
100,530,0.0
100,540,0.0
100,550,0.0
100,560,0.0
100,570,0.0
100,580,0.0
100,590,0.0
100,600,0.0
100,610,0.0
100,620,0.0
100,630,0.0
100,640,0.0
100,650,0.0
100,660,0.0
100,670,0.0
100,680,0.0
100,690,0.0
