vars, clauses,sat,conflicts,decisions,propagations,switched
25, 5,1.0,0.0,0.0,11.92,0.0
25, 10,1.0,0.0,0.0,17.99,0.0
25, 15,1.0,0.0,0.0,21.13,0.0
25, 20,1.0,0.0,0.0,22.98,0.0
25, 25,1.0,0.0,0.0,23.89,0.0
25, 30,1.0,0.0,0.0,24.5,0.0
25, 35,1.0,0.0,0.0,24.97,0.0
25, 40,1.0,0.0,0.0,25.21,0.0
25, 45,0.99,0.0,0.0,25.41,0.0
25, 50,1.0,0.0,0.0,25.66,0.0
25, 55,0.99,0.0,0.0,26.3,0.0
25, 60,0.99,0.0,0.0,26.4,0.0
25, 65,0.97,0.0,0.0,29.39,0.0
25, 70,0.99,0.0,0.0,28.83,0.0
25, 75,0.92,0.0,0.0,33.55,0.0
25, 80,0.88,0.0,0.0,34.05,0.0
25, 85,0.86,0.0,0.0,38.83,0.0
25, 90,0.8,0.0,0.0,45.89,0.0
25, 95,0.73,0.0,0.0,45.33,0.0
25, 100,0.57,0.0,0.0,50.93,0.0
25, 105,0.48,0.0,0.0,44.97,0.0
25, 110,0.32,0.0,0.0,45.05,0.0
25, 115,0.4,0.0,0.0,48.22,0.0
25, 120,0.18,0.0,0.0,42.79,0.0
25, 125,0.18,0.0,0.0,40.99,0.0
25, 130,0.14,0.0,0.0,35.06,0.0
25, 135,0.11,0.0,0.0,37.89,0.0
25, 140,0.08,0.0,0.0,30.77,0.0
25, 145,0.06,0.0,0.0,29.47,0.0
25, 150,0.03,0.0,0.0,29.19,0.0
25, 155,0.0,0.0,0.0,31.18,0.0
25, 160,0.0,0.0,0.0,21.68,0.0
25, 165,0.0,0.0,0.0,22.49,0.0
25, 170,0.0,0.0,0.0,18.82,0.0
25, 175,0.0,0.0,0.0,17.34,0.0
50, 10,1.0,0.0,0.0,24.65,0.0
50, 20,1.0,0.0,0.0,37.41,0.0
50, 30,1.0,0.0,0.0,43.48,0.0
50, 40,1.0,0.0,0.0,46.68,0.0
50, 50,1.0,0.0,0.0,48.38,0.0
50, 60,1.0,0.0,0.0,49.21,0.0
50, 70,1.0,0.0,0.0,49.92,0.0
50, 80,1.0,0.0,0.0,50.06,0.0
50, 90,1.0,0.0,0.0,51.33,0.0
50, 100,1.0,0.0,0.0,51.14,0.0
50, 110,1.0,0.0,0.0,52.1,0.0
50, 120,0.99,0.0,0.0,52.25,0.0
50, 130,0.99,0.0,0.0,58.96,0.0
50, 140,0.98,0.0,0.0,66.35,0.0
50, 150,0.95,0.0,0.0,70.94,0.0
50, 160,0.88,0.0,0.0,80.42,0.0
50, 170,0.81,0.0,0.0,85.74,0.0
50, 180,0.64,0.0,0.0,107.86,0.0
50, 190,0.57,0.0,0.0,123.49,0.0
50, 200,0.41,0.0,0.0,138.08,0.0
50, 210,0.28,0.0,0.0,111.74,0.0
50, 220,0.15,0.0,0.0,108.19,0.0
50, 230,0.15,0.0,0.0,120.59,0.0
50, 240,0.05,0.0,0.0,91.38,0.0
50, 250,0.02,0.0,0.0,91.05,0.0
50, 260,0.0,0.0,0.0,70.6,0.0
50, 270,0.0,0.0,0.0,62.12,0.0
50, 280,0.0,0.0,0.0,56.65,0.0
50, 290,0.0,0.0,0.0,52.54,0.0
50, 300,0.0,0.0,0.0,37.79,0.0
50, 310,0.0,0.0,0.0,36.37,0.0
50, 320,0.0,0.0,0.0,35.99,0.0
50, 330,0.0,0.0,0.0,37.9,0.0
50, 340,0.0,0.0,0.0,28.23,0.0
50, 350,0.0,0.0,0.0,25.21,0.0
75, 15,1.0,0.0,0.0,37.55,0.0
75, 30,1.0,0.0,0.0,55.99,0.0
75, 45,1.0,0.0,0.0,65.07,0.0
75, 60,1.0,0.0,0.0,70.34,0.0
75, 75,1.0,0.0,0.0,72.44,0.0
75, 90,1.0,0.0,0.0,74.2,0.0
75, 105,1.0,0.0,0.0,74.87,0.0
75, 120,1.0,0.0,0.0,74.96,0.0
75, 135,1.0,0.0,0.0,76.28,0.0
75, 150,1.0,0.0,0.0,75.97,0.0
75, 165,1.0,0.0,0.0,77.06,0.0
75, 180,1.0,0.0,0.0,81.31,0.0
75, 195,1.0,0.0,0.0,84.04,0.0
75, 210,0.98,0.0,0.0,91.85,0.0
75, 225,0.99,0.0,0.0,119.54,0.0
75, 240,0.9,0.0,0.0,152.76,0.0
