vars,clauses,probability
25,5,1.0
25,10,1.0
25,15,1.0
25,20,1.0
25,25,1.0
25,30,1.0
25,35,1.0
25,40,1.0
25,45,1.0
25,50,1.0
25,55,1.0
25,60,1.0
25,65,1.0
25,70,1.0
25,75,1.0
25,80,1.0
25,85,1.0
25,90,0.998
25,95,1.0
25,100,0.999
25,105,0.991
25,110,0.994
25,115,0.994
25,120,0.971
25,125,0.935
25,130,0.888
25,135,0.833
25,140,0.759
25,145,0.658
25,150,0.56
25,155,0.486
25,160,0.399
25,165,0.267
25,170,0.239
25,175,0.177
25,180,0.127
25,185,0.098
25,190,0.064
25,195,0.049
25,200,0.029
25,205,0.016
25,210,0.012
25,215,0.008
25,220,0.008
50,10,1.0
50,20,1.0
50,30,1.0
50,40,1.0
50,50,1.0
50,60,1.0
50,70,1.0
50,80,1.0
50,90,1.0
50,100,1.0
50,110,1.0
50,120,1.0
50,130,1.0
50,140,1.0
50,150,1.0
50,160,1.0
50,170,1.0
50,180,1.0
50,190,1.0
50,200,1.0
50,210,1.0
50,220,1.0
50,230,1.0
50,240,0.999
50,250,0.993
50,260,0.972
50,270,0.932
50,280,0.831
50,290,0.692
50,300,0.513
50,310,0.366
50,320,0.269
50,330,0.141
50,340,0.082
50,350,0.053
50,360,0.024
50,370,0.007
50,380,0.006
50,390,0.005
50,400,0.0
50,410,0.002
50,420,0.0
50,430,0.0
50,440,0.0
75,15,1.0
75,30,1.0
75,45,1.0
75,60,1.0
75,75,1.0
75,90,1.0
75,105,1.0
75,120,1.0
75,135,1.0
75,150,1.0
75,165,1.0
75,180,1.0
75,195,1.0
75,210,1.0
75,225,1.0
75,240,1.0
75,255,1.0
75,270,1.0
75,285,1.0
75,300,1.0
75,315,1.0
75,330,1.0
75,345,1.0
75,360,0.999
75,375,0.998
75,390,0.995
75,405,0.964
75,420,0.884
75,435,0.736
75,450,0.516
75,465,0.299
75,480,0.159
75,495,0.073
75,510,0.023
75,525,0.005
75,540,0.001
75,555,0.003
75,570,0.0
75,585,0.0
75,600,0.0
75,615,0.0
75,630,0.0
75,645,0.0
75,660,0.0
